,Unnamed: 0,Unnamed: 6,star_name,distance.1,mass.1,radius.1
0,0.0,0.0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1,1.0,1.0,2MASS J08283419-1309198,,,
2,2.0,2.0,2MASS J00040288-6410358,192,19,1.63
3,3.0,3.0,LHS 102BC,,,
4,4.0,4.0,2MASS J00242463-0158201,37.7,79,1.09
5,5.0,5.0,2MASS J00250365+4759191AB,143,,
6,6.0,6.0,2MASS J00274197+0503417,236,31,1.44
7,7.0,7.0,2MASS J00275592+2219328,46.9,,
8,8.0,8.0,2MASSW J0030300-145033,87.2,54,0.98
9,9.0,9.0,2MASS J00332386-1521309 [de],131,29,1.43
10,10.0,10.0,2MASS J00345157+0523050,31,42,0.94
11,11.0,11.0,2MASS 0036+1821,28.6,42,0.94
12,12.0,12.0,2MASSW J0045214+163445,57,23,1.62
13,13.0,13.0,WISEP J004701.06+680352.1 [fr],40,12,1.3
14,14.0,14.0,2MASS J00501994-3322402 [de],34,40,0.94
15,15.0,15.0,2MASS J00034227-2822410,,,
16,16.0,16.0,2MASS J00584253-0651239 [de],96,29,1.43
17,17.0,17.0,CFBDS J005910.90–011401.3,30,23,
18,18.0,18.0,2MASSI J0103320+193536,70,52,0.98
19,19.0,19.0,SDSSp J010752.33+004156.1 [de],51,52,0.98
20,20.0,20.0,2MASSI J0117474-340325 [de],163,20,1.62
21,21.0,21.0,2MASS J01415823-4633574 [de],130,20,1.61
22,22.0,22.0,SDSS J015141.69+124429.6,70,47,0.97
23,23.0,23.0,DENIS-P J020529.0−115925A,65,,
24,24.0,24.0,DENIS-P J020529.0−115925B,65,,
25,25.0,25.0,DENIS-P J020529.0−115925C,65,,
26,26.0,26.0,SDSS J020742.48+000056.2 [de],111,47,0.97
27,27.0,27.0,2MASS J02103857-3015313,101,15,1.53
28,28.0,28.0,2MASS J02340093-6442068,155,20,1.62
29,29.0,29.0,2MASS J02411151-0326587 [de],152,27,1.41
30,30.0,30.0,2MASS J02431371−2453298,35,33,0.99
31,31.0,31.0,LP 771-21,53,78,1.08
32,32.0,32.0,2MASS J02511327+0047364,,,
33,33.0,33.0,Teegarden's star,12.578,80,1.27
34,34.0,34.0,2MASS J02535980+3206373,184,65,1.9
35,35.0,35.0,WISE J0254+0223,24,65,1.9
36,36.0,36.0,DEN 0255-4700,16.2,80,0.97
37,37.0,37.0,2MASS J03185403-3421292 [de],45,49,0.97
38,38.0,38.0,2MASS J03205965+1854233,47,88,1.15
39,39.0,39.0,2MASS J03231002-4631237,192,23,1.66
40,40.0,40.0,SDSS J032553.17+042540.1,59,45,0.95
41,41.0,41.0,2MASS J03264225-2102057 [de],80,18,1.3
42,42.0,42.0,2MASS J03284265+2302051 [de],98,54,0.98
43,43.0,43.0,2MASS J03341218-4953322,27.0,73,1.04
44,44.0,44.0,LP 944-20,20.9,73,1.43
45,45.0,45.0,2MASP J0345432+254023,88,74,1.05
46,46.0,46.0,Teide 1,380,55,3.78
47,47.0,47.0,2MASS J03510004-0052452,48,102,1.27
48,48.0,48.0,2MASS J03552337+1133437,29.8,20,1.32
49,49.0,49.0,DENIS-P J035726.9-441730 [de],130,,
50,50.0,50.0,2MASS J04151954−0935066,18.6,30,0.95
51,51.0,51.0,SDSSp J042348.57-041403.5 [de],50,,
52,52.0,52.0,2MASS J04285096-2253227 [de],85,80,1.09
53,53.0,53.0,2MASS J04351612-1606574,34,100,1.26
54,54.0,54.0,2MASS J04362788-4114465,142,39,1.97
55,55.0,55.0,2MASS J04390101-2353083 [de],29.5,48,0.97
56,56.0,56.0,2MASS J04414489+2301513,470,19,
57,57.0,57.0,2MASS J04433764+0002040,82,22,1.78
58,58.0,58.0,2MASS J04455387-3048204 [de],42,64,1.00
59,59.0,59.0,2MASS J04510093-3402150 [de],69,72,1.04
60,60.0,60.0,2MASS J05002100+0330501 [de],44,64,1.00
61,61.0,61.0,2MASS J05012406-0010452 [de],64,21,1.38
62,62.0,62.0,2MASS J05160945-0445499 [de],73,47,0.97
63,63.0,63.0,2MASS J0523−1403,40,68,1.01
64,64.0,64.0,2MASS 0532+8246,81,83,
65,65.0,65.0,SDSS J053951.99-005902.0,41.62,61,1.01
66,66.0,66.0,2MASS J05591914-1404488 [de],34,,
67,67.0,67.0,LSR 0602+3910 [de],34.6,28,1.41
68,68.0,68.0,2MASS J06085283-2753583,102,38,1.51
69,69.0,69.0,WISEP J061135.13-041024.0A,69,65,
70,70.0,70.0,WISEP J061135.13-041024.0B,69,53,
71,71.0,71.0,2MASS J06244595-4521548 [de],39,56,0.99
72,72.0,72.0,2MASS J06411840-4322329 [de],65,67,1.01
73,73.0,73.0,DENIS-P J0652197-253450 [de],51,75,1.05
74,74.0,74.0,2MASS J07003664+3157266 [de],40,,
75,75.0,75.0,2MASS J07075327-4900503,60,72,1.03
76,76.0,76.0,UGPS J072227.51-054031.2,13.4,26,0.98
77,77.0,77.0,2MASSI J0727182+171001 [de],29.6,41,0.94
78,78.0,78.0,2MASS J07290002-3954043 [de],25.8,37,0.94
79,79.0,79.0,SDSS J074201.41+205520.5 [de],49,43,0.94
80,80.0,80.0,2MASS J0746425+200032 [fr],49.6,,
81,81.0,81.0,DENIS-P J0751164-253043 [de],55,71,1.03
82,82.0,82.0,2MASS J07522390+1612157,60,68,2.01
83,83.0,83.0,DENIS J081730.0-615520,16.1,44,0.94
84,84.0,84.0,DENIS J082303.1−491201A,67,44,
85,85.0,85.0,DENIS J082303.1−491201B,67,28,
86,86.0,86.0,2MASS J08251968+2115521 [de],35,52,0.98
87,87.0,87.0,SDSSp J083008.12+482847.4 [de],43,48,0.99
88,88.0,88.0,LHS 2021,55,88,1.15
89,89.0,89.0,SDSS J083048.80+012831.1 [de],77,46,0.96
90,90.0,90.0,2MASSI J0835425-081923 [de],23.53,62,1.00
91,91.0,91.0,2MASSI J0847287-153237 [de],43,64,1.00
92,92.0,92.0,2MASS J08533619-0329321,27.6,77,1.07
93,93.0,93.0,2MASSI J0859254-194926 [de],50,50,0.98
94,94.0,94.0,2MASSW J0920122+351742 [de],95,,
95,95.0,95.0,2MASSI J0937347+293142,20.0,42,0.94
96,96.0,96.0,2MASS 0939−2448,17.4,32,0.95
97,,,star_name,distance,mass,radius
98,0.0,0.0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
99,1.0,1.0,2MASS J08283419-1309198,,,
100,2.0,2.0,2MASS J00040288-6410358,192,19,1.63
101,3.0,3.0,LHS 102BC,,,
102,4.0,4.0,2MASS J00242463-0158201,37.7,79,1.09
103,5.0,5.0,2MASS J00250365+4759191AB,143,,
104,6.0,6.0,2MASS J00274197+0503417,236,31,1.44
105,7.0,7.0,2MASS J00275592+2219328,46.9,,
106,8.0,8.0,2MASSW J0030300-145033,87.2,54,0.98
107,9.0,9.0,2MASS J00332386-1521309 [de],131,29,1.43
108,10.0,10.0,2MASS J00345157+0523050,31,42,0.94
109,11.0,11.0,2MASS 0036+1821,28.6,42,0.94
110,12.0,12.0,2MASSW J0045214+163445,57,23,1.62
111,13.0,13.0,WISEP J004701.06+680352.1 [fr],40,12,1.3
112,14.0,14.0,2MASS J00501994-3322402 [de],34,40,0.94
113,15.0,15.0,2MASS J00034227-2822410,,,
114,16.0,16.0,2MASS J00584253-0651239 [de],96,29,1.43
115,17.0,17.0,CFBDS J005910.90–011401.3,30,23,
116,18.0,18.0,2MASSI J0103320+193536,70,52,0.98
117,19.0,19.0,SDSSp J010752.33+004156.1 [de],51,52,0.98
